id,school_id_k,tch_id_k,cltype_k,cltype_1,actual_size_k,in_STAR_k,in_STAR_1,in_STAR_2,in_STAR_3,gender,race,age_in_1985,tch_gender,tch_race,tch_degree,tch_exp,gktreadss,gktmathss,gkwordskillss,std_read_score_k,std_math_score_k,std_word_score_k,pctile_math_k,pctile_read_k,pctile_word_k,freelunch_k
10153,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.723288,,,,,,,,,,,,,,
10154,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","FEMALE","WHITE",6.224658,,,,,,,,,,,,,,
10155,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","WHITE",5.852055,,,,,,,,,,,,,,
10156,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.630137,,,,,,,,,,,,,,
10157,,,,,,"NO","NO","YES","NO","MALE","BLACK",7.032876,,,,,,,,,,,,,,
10158,,,,"SMALL CLASS",,"NO","YES","NO","NO","MALE","BLACK",5.057534,,,,,,,,,,,,,,
10159,,,,,,"NO","NO","YES","YES","MALE","WHITE",,,,,,,,,,,,,,,
10160,,,,,,"NO","NO","YES","NO","MALE","WHITE",6.115068,,,,,,,,,,,,,,
10161,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.424657,,,,,,,,,,,,,,
10162,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.682192,,,,,,,,,,,,,,
10163,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.043836,,,,,,,,,,,,,,
10164,,,,,,"NO","NO","YES","NO","MALE","BLACK",5.276712,,,,,,,,,,,,,,
10165,,,,,,"NO","NO","YES","NO","MALE","WHITE",6.526027,,,,,,,,,,,,,,
10166,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",6.627397,,,,,,,,,,,,,,
10167,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.572603,,,,,,,,,,,,,,
10168,,,,,,"NO","NO","NO","YES","MALE","BLACK",6.20274,,,,,,,,,,,,,,
10169,,,,,,"NO","NO","NO","YES","MALE","BLACK",4.928767,,,,,,,,,,,,,,
10170,,,,,,"NO","NO","YES","NO","MALE","BLACK",5.983562,,,,,,,,,,,,,,
10171,,,,,,"NO","NO","YES","NO","FEMALE","BLACK",6.260274,,,,,,,,,,,,,,
10172,,,,,,"NO","NO","YES","NO","FEMALE",,5.254795,,,,,,,,,,,,,,
10173,,,,,,"NO","NO","YES","NO",,,5.254795,,,,,,,,,,,,,,
10174,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",6.372603,,,,,,,,,,,,,,
10175,,,,"SMALL CLASS",,"NO","YES","YES","YES","MALE","BLACK",5.841096,,,,,,,,,,,,,,
10176,,,,,,"NO","NO","YES","NO","FEMALE","BLACK",5.876712,,,,,,,,,,,,,,
10177,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",6.191781,,,,,,,,,,,,,,
10178,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.19452,,,,,,,,,,,,,,
10179,,,,"SMALL CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",6.783562,,,,,,,,,,,,,,
10180,,,,,,"NO","NO","NO","YES","MALE","BLACK",7.904109,,,,,,,,,,,,,,
10181,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","NO","MALE","BLACK",5.635616,,,,,,,,,,,,,,
10182,,,,,,"NO","NO","NO","YES","MALE","BLACK",6.676713,,,,,,,,,,,,,,
10183,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.616438,,,,,,,,,,,,,,
10184,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",5.09863,,,,,,,,,,,,,,
10185,,,,,,"NO","NO","YES","YES","MALE","BLACK",4.835617,,,,,,,,,,,,,,
10186,,,,"SMALL CLASS",,"NO","YES","YES","YES","MALE","WHITE",6.49863,,,,,,,,,,,,,,
10187,,,,,,"NO","NO","YES","NO","MALE","BLACK",5.890411,,,,,,,,,,,,,,
10188,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","WHITE",5.030137,,,,,,,,,,,,,,
10189,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.282192,,,,,,,,,,,,,,
10190,,,,,,"NO","NO","YES","YES","MALE","WHITE",6.323287,,,,,,,,,,,,,,
10191,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.449315,,,,,,,,,,,,,,
10192,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","FEMALE","BLACK",5.635616,,,,,,,,,,,,,,
10193,,,,"REGULAR CLASS",,"NO","YES","NO","NO","FEMALE","BLACK",6.591781,,,,,,,,,,,,,,
10194,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.753425,,,,,,,,,,,,,,
10195,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",7.049315,,,,,,,,,,,,,,
10196,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",5.50137,,,,,,,,,,,,,,
10197,,,,,,"NO","NO","YES","YES","MALE","BLACK",7.147945,,,,,,,,,,,,,,
10198,,,,,,"NO","NO","YES","YES","MALE","BLACK",5.068493,,,,,,,,,,,,,,
10199,,,,"REGULAR + AIDE CLASS",,"NO","YES","NO","NO","FEMALE","WHITE",5.70411,,,,,,,,,,,,,,
10200,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.175343,,,,,,,,,,,,,,
10201,,,,,,"NO","NO","NO","YES","MALE","WHITE",4.753425,,,,,,,,,,,,,,
10202,,,,,,"NO","NO","YES","NO","FEMALE",,5.172603,,,,,,,,,,,,,,
10203,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.813699,,,,,,,,,,,,,,
10204,,,,,,"NO","NO","YES","YES","MALE","BLACK",7.734247,,,,,,,,,,,,,,
10205,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.715068,,,,,,,,,,,,,,
10206,,,,,,"NO","NO","YES","NO","MALE","WHITE",5.150685,,,,,,,,,,,,,,
10207,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",5.131507,,,,,,,,,,,,,,
10208,,,,,,"NO","NO","YES","NO","FEMALE","BLACK",6.021918,,,,,,,,,,,,,,
10209,,,,,,"NO","NO","YES","NO","MALE","BLACK",6.446575,,,,,,,,,,,,,,
10210,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",5.243835,,,,,,,,,,,,,,
10211,,,,,,"NO","NO","YES","NO","MALE","BLACK",5.358904,,,,,,,,,,,,,,
10212,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.679452,,,,,,,,,,,,,,
10213,,,,"REGULAR CLASS",,"NO","YES","YES","YES","MALE","BLACK",6.504109,,,,,,,,,,,,,,
10214,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.641096,,,,,,,,,,,,,,
10215,,,,"SMALL CLASS",,"NO","YES","YES","YES","FEMALE","WHITE",6.309589,,,,,,,,,,,,,,
10216,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.079452,,,,,,,,,,,,,,
10217,,,,,,"NO","NO","YES","NO","MALE",,5.172603,,,,,,,,,,,,,,
10218,,,,,,"NO","NO","YES","NO","MALE","BLACK",5.421918,,,,,,,,,,,,,,
10219,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",6.852055,,,,,,,,,,,,,,
10220,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.427397,,,,,,,,,,,,,,
10221,,,,,,"NO","NO","YES","NO","FEMALE",,5.175343,,,,,,,,,,,,,,
10222,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",6.082192,,,,,,,,,,,,,,
10223,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","BLACK",5.572603,,,,,,,,,,,,,,
10224,,,,,,"NO","NO","YES","NO","FEMALE","WHITE",5.232877,,,,,,,,,,,,,,
10225,,,,"REGULAR CLASS",,"NO","YES","NO","NO","FEMALE","WHITE",5.616438,,,,,,,,,,,,,,
10226,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",6.328767,,,,,,,,,,,,,,
10227,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.191781,,,,,,,,,,,,,,
10228,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.657534,,,,,,,,,,,,,,
10229,,,,,,"NO","NO","YES","YES","FEMALE","WHITE",5.89863,,,,,,,,,,,,,,
10230,,,,,,"NO","NO","NO","YES","MALE","WHITE",5.213699,,,,,,,,,,,,,,
10231,,,,,,"NO","NO","YES","YES","MALE","BLACK",5.534246,,,,,,,,,,,,,,
10232,,,,,,"NO","NO","YES","NO","FEMALE","WHITE",5.230137,,,,,,,,,,,,,,
10233,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",6.084931,,,,,,,,,,,,,,
10234,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.591781,,,,,,,,,,,,,,
10235,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","NO","FEMALE","WHITE",5.490411,,,,,,,,,,,,,,
10236,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.030137,,,,,,,,,,,,,,
10237,,,,,,"NO","NO","NO","YES","MALE","WHITE",7.534246,,,,,,,,,,,,,,
10238,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.249315,,,,,,,,,,,,,,
10239,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",6.99726,,,,,,,,,,,,,,
10240,,,,,,"NO","NO","NO","YES","MALE","WHITE",6.413699,,,,,,,,,,,,,,
10241,,,,,,"NO","NO","NO","YES","MALE",,5.479452,,,,,,,,,,,,,,
10242,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","WHITE",6.446575,,,,,,,,,,,,,,
10243,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.109589,,,,,,,,,,,,,,
10244,,,,,,"NO","NO","YES","NO","FEMALE","BLACK",5.843836,,,,,,,,,,,,,,
10245,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",5.29863,,,,,,,,,,,,,,
10246,218562,21856202,"REGULAR + AIDE CLASS","REGULAR CLASS",17,"YES","YES","YES","YES","FEMALE","WHITE",4.961644,"FEMALE","WHITE","MASTERS",8,450,494,444,.4777456,.2356273,.3169214,60,72,63,0
10247,,,,,,"NO","NO","YES","YES","FEMALE","BLACK",5.128767,,,,,,,,,,,,,,
10248,,,,,,"NO","NO","YES","YES","MALE","WHITE",6.621918,,,,,,,,,,,,,,
10249,,,,,,"NO","NO","YES","YES","MALE","BLACK",6.249315,,,,,,,,,,,,,,
10250,,,,,,"NO","NO","NO","YES","FEMALE","WHITE",6.019178,,,,,,,,,,,,,,
10251,,,,,,"NO","NO","NO","YES","FEMALE","BLACK",,,,,,,,,,,,,,,
10252,,,,"REGULAR + AIDE CLASS",,"NO","YES","YES","YES","MALE","WHITE",7.630137,,,,,,,,,,,,,,
10253,,,,,,"NO","NO","NO","YES","MALE","BLACK",5.764384,,,,,,,,,,,,,,
